periodo,taxa_de_desemprego,ano,mes,media_movel_3,media_movel_6,lag_1,lag_3,previsao,erro
2023-06-01,8.0,2023,6,8.266666666666667,8.433333333333334,8.3,8.8,7.887502546783844,0.11249745321615556
2023-07-01,7.9,2023,7,8.066666666666668,8.35,8.0,8.5,7.95516718144713,-0.05516718144712929
2023-08-01,7.8,2023,8,7.8999999999999995,8.216666666666667,7.9,8.3,7.732190866919359,0.06780913308064118
2023-09-01,7.7,2023,9,7.8,8.033333333333333,7.8,8.0,7.743081893394295,-0.04308189339429447
2023-10-01,7.6,2023,10,7.7,7.883333333333334,7.7,7.9,7.613095615350465,-0.01309561535046555
2023-11-01,7.5,2023,11,7.599999999999999,7.75,7.6,7.8,7.49112385491281,0.008876145087190146
2023-12-01,7.4,2023,12,7.5,7.6499999999999995,7.5,7.7,7.385181129687502,0.014818870312498511
2024-01-01,7.6,2024,1,7.5,7.6000000000000005,7.4,7.6,7.64517351636712,-0.04517351636712075
2024-02-01,7.8,2024,2,7.6000000000000005,7.6000000000000005,7.6,7.5,7.708881435918616,0.09111856408138408
2024-03-01,7.9,2024,3,7.766666666666667,7.633333333333333,7.8,7.4,7.968076114638114,-0.0680761146381137
2024-04-01,7.5,2024,4,7.733333333333333,7.616666666666666,7.9,7.6,7.568431103317859,-0.06843110331785862
2024-05-01,7.1,2024,5,7.5,7.55,7.5,7.8,7.301052088524121,-0.20105208852412115
2024-06-01,6.9,2024,6,7.166666666666667,7.466666666666666,7.1,7.9,6.834925140056267,0.06507485994373319
2024-07-01,6.8,2024,7,6.933333333333334,7.333333333333333,6.9,7.5,6.728333985546347,0.07166601445365295
2024-08-01,6.6,2024,8,6.766666666666666,7.133333333333333,6.8,7.1,6.630205940324999,-0.03020594032499968
2024-09-01,6.4,2024,9,6.6000000000000005,6.883333333333334,6.6,6.9,6.490064546796438,-0.09006454679643738
2024-10-01,6.2,2024,10,6.3999999999999995,6.666666666666667,6.4,6.8,6.197770156636829,0.0022298433631711134
2024-11-01,6.1,2024,11,6.233333333333333,6.5,6.2,6.6,6.097701351139128,0.0022986488608713884
2024-12-01,6.2,2024,12,6.166666666666667,6.383333333333334,6.1,6.4,6.151926140151032,0.0480738598489685
2025-01-01,6.5,2025,1,6.266666666666667,6.333333333333333,6.2,6.2,6.481685194144886,0.018314805855114358
2025-02-01,6.8,2025,2,6.5,6.366666666666667,6.5,6.1,6.781401052577649,0.01859894742235113
2025-03-01,7.0,2025,3,6.766666666666667,6.466666666666668,6.8,6.2,7.04599750368182,-0.04599750368181965
2025-04-01,6.6,2025,4,6.8,6.533333333333332,7.0,6.5,6.648493090240123,-0.04849309024012349
2025-05-01,6.2,2025,5,6.599999999999999,6.55,6.6,6.8,6.432462355589526,-0.23246235558952577
2025-06-01,5.8,2025,6,6.199999999999999,6.483333333333333,6.2,7.0,5.716439030906623,0.08356096909337651
2025-07-01,5.6,2025,7,5.866666666666667,6.333333333333333,5.8,6.6,5.610519861341852,-0.010519861341852454
2025-08-01,5.6,2025,8,5.666666666666667,6.133333333333333,5.6,6.2,5.5615994983850765,0.038400501614923144
2025-09-01,5.6,2025,9,5.6,5.8999999999999995,5.6,5.8,5.577692459642476,0.022307540357523692
2025-10-01,5.4,2025,10,5.533333333333334,5.699999999999999,5.6,5.6,5.452908116381116,-0.05290811638111581
2025-11-01,5.2,2025,11,5.3999999999999995,5.533333333333334,5.4,5.6,5.285661833130134,-0.08566183313013376
2025-12-01,5.1,2025,12,5.233333333333333,5.416666666666667,5.2,5.6,5.052730240719842,0.047269759280157864
2026-01-01,5.4,2026,1,5.233333333333333,5.383333333333333,5.1,5.4,5.399190314871184,0.0008096851288161844
2026-02-01,5.8,2026,2,5.433333333333334,5.416666666666667,5.4,5.2,5.6876304811916665,0.11236951880833335
